id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
2599419737_3296,"Toilex Wrapped Toilet Tissue - 1 Roll","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Toilex-1-roll.jpeg,https://kapu.mystagingwebsite.com/product/toilex-wrapped-toilet-tissue-1-roll/?attribute_pa_pricing=base,"Household Cleaners","Kapu Africa",24KES,in stock,2599419737_3215,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,24KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
1611173445_3294,"Sunlight Powder Lavender - 40g","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/sunlight-200g-pink-1.jpg,https://kapu.mystagingwebsite.com/product/sunlight-powder-lavender-40g/?attribute_pa_pricing=base,"Household Cleaners","Kapu Africa",9KES,in stock,1611173445_3214,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,9KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
9922661962_3292,"Softcare Gold Diaper Maxi S-8","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Softcare-Diapers-Small.jpg,https://kapu.mystagingwebsite.com/product/softcare-gold-diaper-maxi-s-8/?attribute_pa_pricing=base,"Household Cleaners","Kapu Africa",120KES,in stock,9922661962_3213,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,120KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
2685380480_3290,"Softcare Gold Diaper Maxi M-8","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Softcare-Medium.jpg,https://kapu.mystagingwebsite.com/product/softcare-gold-diaper-maxi-m-8/?attribute_pa_pricing=base,"Household Cleaners","Kapu Africa",0KES,in stock,2685380480_3212,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
9400515460_3288,"Softcare Gold Diaper Maxi L-8","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Softcare-Diapers-Large.jpeg,https://kapu.mystagingwebsite.com/product/softcare-gold-diaper-maxi-l-8/?attribute_pa_pricing=base,"Household Cleaners","Kapu Africa",120KES,in stock,9400515460_3211,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,120KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
3819626227_3286,"Royco - Bouillon Beef Cube 4g x 3 Pieces","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Royco-Cube-X-3.jpeg,https://kapu.mystagingwebsite.com/product/royco-bouillon-beef-cube-4g-x-3-pieces/?attribute_pa_pricing=base,"Cooking Ingredient","Kapu Africa",10KES,in stock,3819626227_3210,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,10KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
4103880190_3282,"Ngarisha Steel Wool -15Gms","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Ngarisha-75g.jpeg,https://kapu.mystagingwebsite.com/product/ngarisha-steel-wool-15gms/?attribute_pa_pricing=base,"Cooking Ingredient","Kapu Africa",7KES,in stock,4103880190_3208,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
375340437_3280,"Mchuzi Mix Beef Kora - 10g","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/mchuzi-mix-beef-kora.jpeg,https://kapu.mystagingwebsite.com/product/mchuzi-mix-beef-kora-10g/?attribute_pa_pricing=base,"Beauty","Kapu Africa",5KES,in stock,375340437_3207,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
4130357482_3278,"Kensalt - 500G","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/Kensalt-500g.jpeg,https://kapu.mystagingwebsite.com/product/kensalt-500g/?attribute_pa_pricing=base,"Cooking Ingredient","Kapu Africa",17KES,in stock,4130357482_3206,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
3306580224_3276,"Kensalt - 200G","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Kensalt-200g.jpg,https://kapu.mystagingwebsite.com/product/kensalt-200g/?attribute_pa_pricing=base,"Cooking Ingredient","Kapu Africa",9KES,in stock,3306580224_3205,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,9KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
6518583240_3274,"Kensalt - 1Kg","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/KENSALT-1KG-1.jpeg,https://kapu.mystagingwebsite.com/product/kensalt-1kg/?attribute_pa_pricing=base,"Cooking Ingredient","Kapu Africa",32KES,in stock,6518583240_3204,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,32KES,new,published,,,,,422,,"pricing:Base/Pamoja:Base"
